"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.alex.Ordered.ordered","thrpt",1,20,5.394990,0.071655,"ops/s"
"com.alex.Ordered.unordered","thrpt",1,20,13.701197,0.151345,"ops/s"
